date,bid_ask_spread,pubout,n_issues
1980-01-31,0.3125,261726.0,109
1980-02-29,0.28125,264228.0,111
1980-03-31,0.34375,269122.0,113
1980-04-30,0.375,270813.0,113
1980-05-30,0.375,271119.0,113
1980-06-30,0.34375,281304.0,115
1980-07-31,0.3125,283302.0,116
1980-08-29,0.28125,281123.0,115
1980-09-30,0.34375,290756.0,117
1980-10-31,0.34375,285580.0,116
1980-11-28,0.28125,292500.0,118
1980-12-31,0.28125,302536.0,120
1981-01-30,0.28125,301158.0,119
1981-02-27,0.28125,302519.0,118
1981-03-31,0.3125,319925.0,122
1981-04-30,0.25,324737.0,123
1981-05-29,0.25,322614.0,122
1981-06-30,0.21875,334111.0,125
1981-07-31,0.28125,337054.0,126
1981-08-31,0.34375,344709.0,127
1981-09-30,0.28125,350618.0,128
1981-10-30,0.25,345129.0,126
1981-11-30,0.21875,361383.0,130
1981-12-31,0.21875,364631.0,132
1982-01-29,0.21875,364091.0,132
1982-02-26,0.3125,367210.0,130
1982-03-31,0.28125,384869.0,135
1982-04-30,0.25,385784.0,136
1982-05-28,0.21875,375901.0,129
1982-06-30,0.21875,402182.0,136
1982-07-30,0.25,384117.0,130
1982-08-31,0.25,402349.0,131
1982-09-30,0.25,436067.0,139
1982-10-29,0.25,437450.0,138
1982-11-30,0.25,418740.0,134
1982-12-31,0.25,407613.0,135
1983-01-31,0.25,402964.0,134
1983-02-28,0.25,394043.0,133
1983-03-31,0.25,497835.0,146
1983-04-29,0.25,493591.0,145
1983-05-31,0.21875,486054.0,143
1983-06-30,0.21875,533024.0,149
1983-07-29,0.21875,528437.0,148
1983-08-31,0.21875,517019.0,145
1983-09-30,0.234375,560519.0,152
1983-10-31,0.21875,555688.0,151
1983-11-30,0.21875,549160.0,149
1983-12-30,0.21875,589904.0,154
1984-01-31,0.21875,584256.0,153
1984-02-29,0.21875,574442.0,151
1984-03-30,0.1875,627262.0,156
1984-04-30,0.1875,622211.0,155
1984-05-31,0.1875,611080.0,152
1984-06-29,0.21875,660922.0,159
1984-07-31,0.21875,654928.0,158
1984-08-31,0.21875,640856.0,154
1984-09-28,0.21875,692308.0,162
1984-10-31,0.21875,684947.0,161
1984-11-30,0.21875,673141.0,159
1984-12-31,0.21875,738878.0,168
1985-01-31,0.21875,731205.0,167
1985-02-28,0.1875,715448.0,164
1985-03-29,0.1875,753871.0,168
1985-04-30,0.1875,745646.0,167
1985-05-31,0.1875,726882.0,161
1985-06-28,0.1875,782941.0,168
1985-07-31,0.1875,774572.0,167
1985-08-30,0.1875,753875.0,163
1985-09-30,0.1875,822106.0,171
1985-10-31,0.1875,813986.0,170
1985-11-29,0.1875,806465.0,168
1985-12-31,0.1875,868656.0,175
1986-01-31,0.1875,860039.0,174
1986-02-28,0.1875,841767.0,171
1986-03-31,0.1875,905676.0,178
1986-04-30,0.1875,897597.0,177
1986-05-30,0.21875,874861.0,173
1986-06-30,0.203125,933432.0,179
1986-07-31,0.21875,924454.0,178
1986-08-29,0.21875,913750.0,176
1986-09-30,0.21875,970026.0,181
1986-10-31,0.21875,960774.0,180
1986-11-28,0.1875,937905.0,175
1986-12-31,0.1875,992423.0,181
1987-01-30,0.1875,983001.0,180
1987-02-27,0.1875,959251.0,176
1987-03-31,0.1875,1031628.0,181
1987-04-30,0.1875,1022083.0,180
1987-05-29,0.1875,1004402.0,177
1987-06-30,0.1875,1054906.0,183
1987-07-31,0.1875,1045353.0,182
1987-08-31,0.171875,1029568.0,180
1987-09-30,0.15625,1078782.0,185
1987-10-30,0.15625,1069662.0,184
1987-11-30,0.171875,1051601.0,181
1987-12-31,0.171875,1109287.0,188
1988-01-29,0.171875,1096883.0,186
1988-02-29,0.171875,1086607.0,184
1988-03-31,0.171875,1146888.0,190
1988-04-29,0.171875,1134153.0,188
1988-05-31,0.171875,1107447.0,184
1988-06-30,0.171875,1148483.0,189
1988-07-29,0.171875,1134707.0,187
1988-08-31,0.171875,1115837.0,185
1988-09-30,0.171875,1172821.0,191
1988-10-31,0.171875,1158719.0,189
1988-11-30,0.171875,1137587.0,186
1988-12-30,0.171875,1171002.0,190
1989-01-31,0.15625,1156765.0,188
1989-02-28,0.15625,1138063.0,186
1989-03-31,0.140625,1216488.0,194
1989-04-28,0.140625,1202371.0,192
1989-05-31,0.171875,1192579.0,189
1989-06-30,0.171875,1250755.0,195
1989-07-31,0.171875,1235749.0,193
1989-08-31,0.171875,1209226.0,190
1989-09-29,0.171875,1248590.0,194
1989-10-31,0.171875,1235192.0,192
1989-11-30,0.171875,1224149.0,189
1989-12-29,0.15625,1285694.0,195
1990-01-31,0.171875,1270759.0,193
1990-02-28,0.171875,1243427.0,189
1990-03-30,0.171875,1304268.0,195
1990-04-30,0.171875,1289611.0,193
1990-05-31,0.171875,1280565.0,190
1990-06-29,0.140625,1344592.0,196
1990-07-31,0.140625,1330357.0,194
1990-08-31,0.140625,1315260.0,191
1990-09-28,0.140625,1384525.0,197
1990-10-31,0.125,1369624.0,195
1990-11-30,0.125,1335983.0,191
1990-12-31,0.109375,1415291.0,199
1991-01-31,0.109375,1399914.0,197
1991-02-28,0.109375,1372637.0,194
1991-03-28,0.109375,1442917.0,199
1991-04-30,0.09375,1427183.0,197
1991-05-31,0.09375,1406423.0,195
1991-06-28,0.09375,1488966.0,202
1991-07-31,0.09375,1474993.0,200
1991-08-30,0.09375,1443135.0,196
1991-09-30,0.09375,1553933.0,205
1991-10-31,0.09375,1537900.0,203
1991-11-29,0.09375,1515413.0,200
1991-12-31,0.09375,1590713.0,207
1992-01-31,0.09375,1574633.0,205
1992-02-28,0.09375,1560692.0,201
1992-03-31,0.09375,1662940.0,207
1992-04-30,0.09375,1646138.0,205
1992-05-29,0.09375,1607052.0,201
1992-06-30,0.09375,1701211.0,208
1992-07-31,0.09375,1682611.0,206
1992-08-31,0.09375,1669259.0,202
1992-09-30,0.09375,1746617.0,209
1992-10-30,0.09375,1727698.0,207
1992-11-30,0.09375,1691331.0,203
1992-12-31,0.09375,1791768.0,209
1993-01-29,0.09375,1772335.0,207
1993-02-26,0.09375,1744320.0,201
1993-03-31,0.09375,1839771.0,208
1993-04-30,0.09375,1820770.0,206
1993-05-28,0.0859375,1793704.0,201
1993-06-30,0.0859375,1883399.0,207
1993-07-30,0.0859375,1863951.0,205
1993-08-31,0.078125,1845109.0,201
1993-09-30,0.078125,1941051.0,207
1993-10-29,0.078125,1920357.0,205
1993-11-30,0.078125,1873804.0,200
1993-12-31,0.078125,1961896.0,205
1994-01-31,0.078125,1940724.0,203
1994-02-28,0.078125,1912301.0,200
1994-03-31,0.078125,2010311.0,206
1994-04-29,0.078125,1988629.0,204
1994-05-31,0.078125,1956396.0,200
1994-06-30,0.078125,2045009.0,206
1994-07-29,0.078125,2023000.0,204
1994-08-31,0.078125,1989741.0,200
1994-09-30,0.078125,2089584.0,206
1994-10-31,0.078125,2068059.0,204
1994-11-30,0.078125,2055918.0,200
1994-12-30,0.078125,2096223.0,203
1995-01-31,0.078125,2073660.0,201
1995-02-28,0.078125,2025758.0,194
1995-03-31,0.078125,2180526.0,203
1995-04-28,0.078125,2157784.0,201
1995-05-31,0.078125,2109448.0,195
1995-06-30,0.078125,2204935.0,202
1995-07-31,0.078125,2181809.0,200
1995-08-31,0.078125,2142511.0,196
1995-09-29,0.078125,2224543.0,201
1995-10-31,0.078125,2200650.0,199
1995-11-30,0.078125,2160253.0,195
1995-12-29,0.078125,2232584.0,202
1996-01-31,0.078125,2200146.0,199
1996-02-29,0.078125,2159500.0,195
1996-03-29,0.078125,2280349.0,200
1996-04-30,0.078125,2246778.0,197
1996-05-31,0.078125,2184332.0,193
1996-06-28,0.078125,2288911.0,199
1996-07-31,0.078125,2254139.0,196
1996-08-30,0.078125,2229945.0,193
1996-09-30,0.078125,2378126.0,201
1996-10-31,0.078125,2343576.0,199
1996-11-29,0.078125,2306909.0,197
1996-12-31,0.078125,2383907.0,201
1997-01-31,0.078125,2348745.0,198
1997-02-28,0.078125,2303012.0,195
1997-03-31,0.078125,2402468.0,201
1997-04-30,0.078125,2366960.0,198
1997-05-30,0.078125,2339518.0,196
1997-06-30,0.078125,2391520.0,200
1997-07-31,0.078125,2353763.0,197
1997-08-29,0.078125,2326929.0,195
1997-09-30,0.078125,2384241.0,199
1997-10-31,0.078125,2346896.0,196
1997-11-28,0.078125,2331173.0,195
1997-12-31,0.078125,2362259.0,198
1998-01-30,0.078125,2354011.0,197
1998-02-27,0.078125,2309435.0,194
1998-03-31,0.078125,2364829.0,199
1998-04-30,0.078125,2325196.0,196
1998-05-29,0.078125,2299795.0,194
1998-06-30,0.0546875,2323239.0,198
1998-07-31,0.0390625,2283896.0,195
1998-08-31,0.0546875,2235473.0,192
1998-09-30,0.0546875,2203628.0,190
1998-10-30,0.0390625,2194376.0,189
1998-11-30,0.0390625,2104935.0,182
1998-12-31,0.0390625,2228076.0,189
1999-01-29,0.0390625,2218409.0,188
1999-02-26,0.0390625,2173687.0,185
1999-03-31,0.0390625,2185830.0,185
1999-04-30,0.0390625,2148103.0,182
1999-05-28,0.0390625,2119202.0,180
1999-06-30,0.0390625,2122545.0,181
1999-07-30,0.0390625,2112948.0,180
1999-08-31,0.04296875,2041434.0,175
1999-09-30,0.0390625,2095483.0,178
1999-10-29,0.0390625,2085684.0,177
1999-11-30,0.0390625,2014201.0,172
1999-12-31,0.0390625,2052127.0,172
2000-01-31,0.0390625,2017043.0,169
2000-02-29,0.0390625,1972211.0,166
2000-03-31,0.0390625,2006832.0,168
2000-04-28,0.0390625,1996865.0,167
2000-05-31,0.0390625,1917279.0,160
2000-06-30,0.0390625,1931459.0,162
2000-07-31,0.0390625,1904137.0,160
2000-08-31,0.0390625,1860432.0,157
2000-09-29,0.0390625,1883640.0,160
2000-10-31,0.0390625,1826948.0,156
2000-11-30,0.0390625,1794199.0,153
2000-12-29,0.0390625,1830346.0,156
2001-01-31,0.0390625,1774340.0,152
2001-02-28,0.04296875,1721939.0,147
2001-03-30,0.0390625,1781183.0,152
2001-04-30,0.0390625,1721685.0,148
2001-05-31,0.04296875,1671180.0,143
2001-06-29,0.04296875,1682042.0,145
2001-07-31,0.04296875,1652959.0,143
2001-08-31,0.04296875,1622044.0,140
2001-09-28,0.0390625,1643778.0,143
2001-10-31,0.0390625,1588346.0,139
2001-11-30,0.04296875,1547599.0,137
2001-12-31,0.04296875,1612719.0,141
2002-01-31,0.04296875,1585435.0,139
2002-02-28,0.046875,1566787.0,136
2002-03-28,0.04296875,1604848.0,137
2002-04-30,0.04296875,1580631.0,135
2002-05-31,0.046875,1549572.0,132
2002-06-28,0.046875,1625636.0,134
2002-07-31,0.046875,1604584.0,132
2002-08-30,0.046875,1595274.0,132
2002-09-30,0.046875,1678237.0,133
2002-10-31,0.046875,1657078.0,132
2002-11-29,0.046875,1643704.0,129
2002-12-31,0.046875,1749810.0,132
2003-01-31,0.046875,1728091.0,130
2003-02-28,0.046875,1686486.0,126
2003-03-31,0.046875,1783459.0,129
2003-04-30,0.046875,1764841.0,127
2003-05-30,0.046875,1766998.0,126
2003-06-30,0.046875,1881933.0,129
2003-07-31,0.046875,1870926.0,128
2003-08-29,0.046875,1827235.0,124
2003-09-30,0.046875,1961290.0,129
2003-10-31,0.046875,1942510.0,128
2003-11-28,0.046875,1917822.0,125
2003-12-31,0.046875,2048602.0,131
2004-01-30,0.046875,2048602.0,131
2004-02-27,0.046875,1989025.0,128
2004-03-31,0.046875,2136158.0,135
2004-04-30,0.046875,2111836.0,134
2004-05-28,0.046875,2079114.0,130
2004-06-30,0.046875,2191569.0,136
2004-07-30,0.046875,2165325.0,135
2004-08-31,0.046875,2109829.0,131
2004-09-30,0.04296875,2237141.0,138
2004-10-29,0.04296875,2210261.0,137
2004-11-30,0.0390625,2135422.0,132
2004-12-31,0.0390625,2259922.0,138
2005-01-31,0.0390625,2234090.0,137
2005-02-28,0.0390625,2195802.0,134
2005-03-31,0.0390625,2330895.0,141
2005-04-29,0.0390625,2330895.0,141
2005-05-31,0.0390625,2241064.0,135
2005-06-30,0.0390625,2365548.0,142
2005-07-29,0.0390625,2341415.0,141
2005-08-31,0.0390625,2299697.0,138
2005-09-30,0.0390625,2405684.0,145
2005-10-31,0.0390625,2379866.0,144
2005-11-30,0.0390625,2315794.0,140
2005-12-30,0.0390625,2401699.0,146
2006-01-31,0.0390625,2376094.0,145
2006-02-28,0.0390625,2332811.0,142
2006-03-31,0.0390625,2465167.0,150
2006-04-28,0.0390625,2465167.0,150
2006-05-31,0.0390625,2355070.0,144
2006-06-30,0.0390625,2471870.0,151
2006-07-31,0.0390625,2432127.0,149
2006-08-31,0.0390625,2385938.0,147
2006-09-29,0.0390625,2472143.0,152
2006-10-31,0.0390625,2432362.0,150
2006-11-30,0.0390625,2352125.0,146
2006-12-29,0.0390625,2456556.0,153
2007-01-31,0.0390625,2433620.0,152
2007-02-28,0.0390625,2375198.0,149
2007-03-30,0.0390625,2483324.0,156
2007-04-30,0.0390625,2461677.0,155
2007-05-31,0.0390625,2385689.0,151
2007-06-29,0.0390625,2486835.0,158
2007-07-31,0.0390625,2468945.0,157
2007-08-31,0.0390625,2387006.0,153
2007-09-28,0.0390625,2480164.0,159
2007-10-31,0.0390625,2461138.0,158
2007-11-30,0.0390625,2390464.0,155
2007-12-31,0.0390625,2523942.0,163
2008-01-31,0.0390625,2502376.0,162
2008-02-29,0.0390625,2426099.0,158
2008-03-31,0.0390625,2569770.0,164
2008-04-30,0.0390625,2548161.0,163
2008-05-30,0.0390625,2452154.0,159
2008-06-30,0.0390625,2645017.0,165
2008-07-31,0.0390625,2624978.0,164
2008-08-29,0.04296875,2581479.0,161
2008-09-30,0.0390625,2718807.0,165
2008-10-31,0.0390625,2683893.0,163
2008-11-28,0.0390625,2628953.0,160
2008-12-31,0.0390625,2859271.0,166
2009-01-30,0.0390625,2824649.0,164
2009-02-27,0.0410155000000003,2794315.0,162
2009-03-31,0.0371094999999996,3187881.0,172
2009-04-30,0.0527342500000003,3153816.0,170
2009-05-29,0.0390625,3101660.0,166
2009-06-30,0.0332032499999996,3350111.0,176
2009-07-31,0.0390627499999993,3317333.0,174
2009-08-31,0.0322265000000001,3237413.0,169
2009-09-30,0.0390625,3603878.0,180
2009-10-30,0.0390625,3568477.0,178
2009-11-30,0.0371094999999996,3509007.0,174
2009-12-31,0.0400390000000001,4004768.0,185
2010-01-29,0.0439452500000001,3991413.0,184
2010-02-26,0.0390625,3905747.0,180
2010-03-31,0.0332030000000003,4353931.0,191
2010-04-30,0.0410155000000003,4310961.0,189
2010-05-28,0.0371092500000003,4293998.0,188
2010-06-30,0.0429686250000003,4783444.0,198
2010-07-30,0.0390622500000006,4770466.0,197
2010-08-31,0.0410155000000003,4681222.0,193
2010-09-30,0.0390623750000003,5053283.0,204
2010-10-29,0.037109375,5040862.0,203
2010-11-30,0.0361327500000001,4959003.0,200
2010-12-31,0.0410157499999996,5194279.0,211
2011-01-31,0.0410157499999996,5141862.0,209
2011-02-28,0.0371092500000003,5080976.0,207
2011-03-31,0.0390625,5188123.0,218
2011-04-29,0.0371091250000006,5188123.0,218
2011-05-31,0.041015625,5104218.0,215
2011-06-30,0.0468747500000006,5249316.0,226
2011-07-29,0.0390623750000003,5249316.0,226
2011-08-31,0.0371092500000003,5110583.0,221
2011-09-30,0.0449217500000003,5469276.0,232
2011-10-31,0.0410157499999996,5412040.0,230
2011-11-30,0.0449219999999996,5330732.0,227
2011-12-30,0.0527344999999996,5736629.0,237
2012-01-31,0.0371092500000003,5651214.0,234
2012-02-29,0.0449217500000003,5564999.0,231
2012-03-30,0.0488276250000012,5962877.0,241
2012-04-30,0.0517575000000007,5879331.0,238
2012-05-31,0.0488280000000003,5808887.0,236
2012-06-29,0.0458983750000001,6215127.0,246
2012-07-31,0.044921875,6126123.0,243
2012-08-31,0.046875,6040944.0,240
2012-09-28,0.048828499999999,6326220.0,247
2012-10-31,0.0488278750000006,6235690.0,244
2012-11-30,0.0488277500000009,6150726.0,241
2012-12-31,0.0449217500000003,6559157.0,251
2013-01-31,0.0429689999999993,6466210.0,248
2013-02-28,0.0449217500000003,6371774.0,245
2013-03-28,0.0449217500000003,6599280.0,255
2013-04-30,0.0468747500000006,6498403.0,252
2013-05-31,0.044921875,6405998.0,249
2013-06-28,0.0468752499999993,6653123.0,259
2013-07-31,0.0449219999999996,6558760.0,256
2013-08-30,0.037109749999999,6512556.0,255
2013-09-30,0.046875,6805138.0,264
2013-10-31,0.046875,6711465.0,261
2013-11-29,0.0527340000000009,6643020.0,259
2013-12-31,0.0527342500000003,6848792.0,268
2014-01-31,0.0507810000000006,6749160.0,265
2014-02-28,0.0527340000000009,6638519.0,262
2014-03-31,0.0527337500000015,6894707.0,272
2014-04-30,0.0527340000000009,6788981.0,269
2014-05-30,0.0527344999999996,6744365.0,268
2014-06-30,0.0527342500000003,6943729.0,276
2014-07-31,0.0546870000000012,6836793.0,273
2014-08-29,0.0546872500000006,6796180.0,272
2014-09-30,0.0527342500000003,9201093.0,280
2014-10-31,0.0527342500000003,9092082.0,277
2014-11-28,0.0527340000000009,9076783.0,276
2014-12-31,0.0546872500000006,7070693.0,284
