date,VIX,HY_OAS,BAA10Y
2019-01-02,23.22,5.35,2.45
2019-01-03,25.45,5.44,2.48
2019-01-04,21.38,5.05,2.45
2019-01-07,21.4,4.83,2.42
2019-01-08,20.47,4.65,2.39
2019-01-09,19.98,4.52,2.39
2019-01-10,19.5,4.54,2.42
2019-01-11,18.19,4.55,2.42
2019-01-14,19.07,4.6,2.46
2019-01-15,18.6,4.55,2.46
2019-01-16,19.04,4.44,2.45
2019-01-17,18.06,4.4,2.43
2019-01-18,17.8,4.27,2.38
2019-01-21,17.8,4.27,2.38
2019-01-22,20.8,4.41,2.38
2019-01-23,19.52,4.39,2.37
2019-01-24,18.89,4.45,2.37
2019-01-25,17.42,4.34,2.34
2019-01-28,18.87,4.41,2.36
2019-01-29,19.13,4.4,2.36
2019-01-30,17.66,4.36,2.37
2019-01-31,16.57,4.37,2.38
2019-02-01,16.14,4.29,2.31
2019-02-04,15.73,4.25,2.3
2019-02-05,15.57,4.15,2.27
2019-02-06,15.38,4.13,2.28
2019-02-07,16.37,4.29,2.31
2019-02-08,15.72,4.32,2.3
2019-02-11,15.97,4.28,2.3
2019-02-12,15.43,4.17,2.3
2019-02-13,15.65,4.12,2.27
2019-02-14,16.22,4.17,2.3
2019-02-15,14.91,4.12,2.28
2019-02-18,14.91,4.12,2.28
2019-02-19,14.88,4.11,2.28
2019-02-20,14.02,4.08,2.23
2019-02-21,14.46,4.04,2.23
2019-02-22,13.51,4.05,2.25
2019-02-25,14.85,4.0,2.23
2019-02-26,15.17,4.01,2.24
2019-02-27,14.7,3.94,2.25
2019-02-28,14.78,3.92,2.22
2019-03-01,13.57,3.86,2.22
2019-03-04,14.63,3.9,2.22
2019-03-05,14.74,3.91,2.22
2019-03-06,15.74,3.98,2.25
2019-03-07,16.59,4.1,2.25
2019-03-08,16.05,4.18,2.27
2019-03-11,14.33,4.12,2.27
2019-03-12,13.77,4.08,2.25
2019-03-13,13.41,3.99,2.26
2019-03-14,13.5,3.95,2.27
2019-03-15,12.88,3.95,2.28
2019-03-18,13.1,3.95,2.27
2019-03-19,13.56,3.91,2.27
2019-03-20,13.91,3.97,2.29
2019-03-21,13.63,3.92,2.28
2019-03-22,16.48,4.03,2.3
2019-03-25,16.33,4.13,2.28
2019-03-26,14.68,4.09,2.3
2019-03-27,15.15,4.09,2.28
2019-03-28,14.43,4.08,2.27
2019-03-29,13.71,3.99,2.26
2019-03-31,13.71,4.05,2.26
2019-04-01,13.4,3.94,2.24
2019-04-02,13.36,3.95,2.24
2019-04-03,13.74,3.9,2.23
2019-04-04,13.58,3.9,2.22
2019-04-05,12.82,3.86,2.22
2019-04-08,13.18,3.84,2.21
2019-04-09,14.28,3.86,2.19
2019-04-10,13.3,3.86,2.21
2019-04-11,13.02,3.79,2.2
2019-04-12,12.01,3.68,2.15
2019-04-15,12.32,3.68,2.15
2019-04-16,12.18,3.64,2.12
2019-04-17,12.6,3.67,2.13
2019-04-18,12.09,3.73,2.12
2019-04-19,12.09,3.73,2.12
2019-04-22,12.42,3.73,2.14
2019-04-23,12.28,3.72,2.14
2019-04-24,13.14,3.73,2.14
2019-04-25,13.25,3.75,2.14
2019-04-26,12.73,3.76,2.13
2019-04-29,13.11,3.73,2.13
2019-04-30,13.12,3.73,2.14
2019-05-01,14.8,3.71,2.11
2019-05-02,14.42,3.74,2.12
2019-05-03,12.87,3.72,2.11
2019-05-06,15.44,3.82,2.14
2019-05-07,19.32,3.89,2.17
2019-05-08,19.4,3.87,2.17
2019-05-09,19.1,3.99,2.21
2019-05-10,16.04,4.01,2.2
2019-05-13,20.55,4.2,2.25
2019-05-14,18.06,4.13,2.24
2019-05-15,16.44,4.17,2.26
2019-05-16,15.29,4.06,2.24
2019-05-17,15.96,4.07,2.24
2019-05-20,16.31,4.06,2.24
2019-05-21,14.95,3.99,2.23
2019-05-22,14.75,4.03,2.26
2019-05-23,16.92,4.22,2.28
2019-05-24,15.85,4.16,2.31
2019-05-27,15.85,4.16,2.31
2019-05-28,17.5,4.19,2.32
2019-05-29,17.9,4.36,2.33
2019-05-30,17.3,4.33,2.33
2019-05-31,18.71,4.59,2.37
2019-06-03,18.86,4.7,2.42
2019-06-04,16.97,4.53,2.42
2019-06-05,16.09,4.48,2.45
2019-06-06,15.93,4.42,2.44
2019-06-07,16.3,4.37,2.42
2019-06-10,15.94,4.23,2.39
2019-06-11,15.99,4.2,2.38
2019-06-12,15.91,4.22,2.41
2019-06-13,15.82,4.24,2.42
2019-06-14,15.28,4.23,2.42
2019-06-17,15.35,4.23,2.41
2019-06-18,15.15,4.14,2.4
2019-06-19,14.33,4.16,2.41
2019-06-20,14.75,4.03,2.38
2019-06-21,15.4,3.95,2.35
2019-06-24,15.26,4.0,2.33
2019-06-25,16.28,4.09,2.34
2019-06-26,16.21,4.05,2.32
2019-06-27,15.82,4.09,2.31
2019-06-28,15.08,4.07,2.31
2019-06-30,15.08,4.07,2.31
2019-07-01,14.06,3.99,2.29
2019-07-02,12.93,4.04,2.29
2019-07-03,12.57,4.02,2.26
2019-07-04,12.57,4.02,2.26
2019-07-05,13.28,3.98,2.26
2019-07-08,13.96,4.0,2.23
2019-07-09,14.09,4.03,2.22
2019-07-10,13.03,4.01,2.25
2019-07-11,12.93,4.0,2.25
2019-07-12,12.39,4.02,2.25
2019-07-15,12.68,4.0,2.25
2019-07-16,12.86,3.96,2.23
2019-07-17,13.97,4.01,2.24
2019-07-18,13.53,4.11,2.27
2019-07-19,14.45,4.07,2.26
2019-07-22,13.53,4.06,2.24
2019-07-23,12.61,3.99,2.23
2019-07-24,12.07,3.98,2.15
2019-07-25,12.74,3.93,2.14
2019-07-26,12.16,3.89,2.13
2019-07-29,12.83,3.93,2.13
2019-07-30,13.94,3.97,2.14
2019-07-31,16.12,3.93,2.13
2019-08-01,17.87,4.1,2.17
2019-08-02,17.61,4.19,2.18
2019-08-05,24.59,4.53,2.24
2019-08-06,20.17,4.46,2.25
2019-08-07,19.49,4.52,2.23
2019-08-08,16.91,4.31,2.25
2019-08-09,17.97,4.31,2.23
2019-08-12,21.09,4.4,2.23
2019-08-13,17.52,4.25,2.22
2019-08-14,22.1,4.49,2.23
2019-08-15,21.18,4.52,2.27
2019-08-16,18.47,4.47,2.26
2019-08-19,16.88,4.36,2.29
2019-08-20,17.5,4.35,2.3
2019-08-21,15.8,4.21,2.25
2019-08-22,16.68,4.16,2.25
2019-08-23,19.87,4.25,2.27
2019-08-26,19.32,4.22,2.27
2019-08-27,20.31,4.19,2.26
2019-08-28,19.35,4.17,2.26
2019-08-29,17.88,4.08,2.27
2019-08-30,18.98,4.09,2.26
2019-08-31,18.98,4.13,2.26
2019-09-02,18.98,4.13,2.26
2019-09-03,19.66,4.23,2.28
2019-09-04,17.33,4.23,2.29
2019-09-05,16.27,4.07,2.28
2019-09-06,15.0,4.05,2.26
2019-09-09,15.27,3.99,2.23
2019-09-10,15.2,3.9,2.22
2019-09-11,14.61,3.92,2.22
2019-09-12,14.22,3.85,2.22
2019-09-13,13.74,3.83,2.21
2019-09-16,14.67,3.8,2.2
2019-09-17,14.44,3.81,2.21
2019-09-18,13.95,3.82,2.18
2019-09-19,14.05,3.77,2.17
2019-09-20,15.32,3.81,2.19
2019-09-23,14.91,3.84,2.17
2019-09-24,17.05,3.9,2.2
2019-09-25,15.96,3.91,2.2
2019-09-26,16.07,3.95,2.18
2019-09-27,17.22,3.99,2.19
2019-09-30,16.24,4.02,2.2
2019-10-01,18.56,4.08,2.22
2019-10-02,20.56,4.28,2.26
2019-10-03,19.12,4.4,2.29
2019-10-04,17.04,4.38,2.29
2019-10-07,17.86,4.31,2.28
2019-10-08,20.28,4.39,2.3
2019-10-09,18.64,4.32,2.29
2019-10-10,17.57,4.26,2.27
2019-10-11,15.58,4.1,2.22
2019-10-14,14.57,4.08,2.22
2019-10-15,13.54,4.01,2.21
2019-10-16,13.68,4.01,2.22
2019-10-17,13.79,4.0,2.21
2019-10-18,14.25,4.02,2.21
2019-10-21,14.0,3.98,2.19
2019-10-22,14.46,3.99,2.17
2019-10-23,14.01,3.98,2.18
2019-10-24,13.71,3.96,2.17
2019-10-25,12.65,3.89,2.16
2019-10-28,13.11,3.85,2.16
2019-10-29,13.2,3.86,2.15
2019-10-30,12.33,3.96,2.17
2019-10-31,13.22,4.15,2.18
2019-11-01,12.3,4.09,2.16
2019-11-04,12.83,3.99,2.16
2019-11-05,13.1,3.97,2.15
2019-11-06,12.62,4.02,2.14
2019-11-07,12.73,3.96,2.13
2019-11-08,12.07,4.0,2.11
2019-11-11,12.69,3.99,2.11
2019-11-12,12.68,4.0,2.1
2019-11-13,13.0,4.05,2.11
2019-11-14,13.05,4.08,2.13
2019-11-15,12.05,4.06,2.13
2019-11-18,12.46,4.09,2.14
2019-11-19,12.86,4.12,2.13
2019-11-20,12.78,4.18,2.16
2019-11-21,13.13,4.17,2.15
2019-11-22,12.34,4.13,2.14
2019-11-25,11.87,4.08,2.13
2019-11-26,11.54,4.05,2.11
2019-11-27,11.75,3.99,2.09
2019-11-28,11.75,3.99,2.09
2019-11-29,12.62,4.01,2.08
2019-11-30,12.62,4.02,2.08
2019-12-02,14.91,4.03,2.11
2019-12-03,15.96,4.14,2.11
2019-12-04,14.8,4.02,2.11
2019-12-05,14.52,4.0,2.09
2019-12-06,13.62,3.89,2.07
2019-12-09,15.86,3.88,2.05
2019-12-10,15.68,3.84,2.01
2019-12-11,14.99,3.83,2.04
2019-12-12,13.94,3.7,2.02
2019-12-13,12.63,3.71,2.02
2019-12-16,12.14,3.62,2.0
2019-12-17,12.29,3.58,1.99
2019-12-18,12.58,3.51,1.98
2019-12-19,12.5,3.54,1.96
2019-12-20,12.51,3.53,1.96
2019-12-23,12.61,3.52,1.96
2019-12-24,12.67,3.53,1.97
2019-12-25,12.67,3.53,1.97
2019-12-26,12.65,3.53,1.97
2019-12-27,13.43,3.56,1.96
2019-12-30,14.82,3.6,1.97
2019-12-31,13.78,3.6,1.98
2020-01-01,13.78,3.6,1.98
2020-01-02,12.47,3.56,1.98
2020-01-03,14.02,3.61,1.99
2020-01-06,13.85,3.57,2.02
2020-01-07,13.79,3.54,2.03
2020-01-08,13.45,3.5,2.05
2020-01-09,12.54,3.49,2.03
2020-01-10,12.56,3.48,1.99
2020-01-13,12.32,3.48,1.99
2020-01-14,12.39,3.45,1.99
2020-01-15,12.42,3.44,2.01
2020-01-16,12.32,3.42,2.0
2020-01-17,12.1,3.39,1.98
2020-01-20,12.1,3.38,1.98
2020-01-21,12.85,3.47,1.97
2020-01-22,12.91,3.49,1.97
2020-01-23,12.98,3.58,1.98
2020-01-24,14.56,3.68,1.98
2020-01-27,18.23,4.03,2.04
2020-01-28,16.28,3.86,2.04
2020-01-29,16.39,3.83,2.05
2020-01-30,15.49,3.95,2.08
2020-01-31,18.84,4.03,2.13
2020-02-03,17.97,3.97,2.1
2020-02-04,16.05,3.85,2.09
2020-02-05,15.15,3.75,2.07
2020-02-06,14.96,3.7,2.05
2020-02-07,15.47,3.75,2.05
2020-02-10,15.04,3.75,2.06
2020-02-11,15.18,3.65,2.05
2020-02-12,13.74,3.59,2.06
2020-02-13,14.15,3.57,2.05
2020-02-14,13.68,3.56,2.04
2020-02-17,13.68,3.56,2.04
2020-02-18,14.83,3.61,2.05
2020-02-19,14.38,3.57,2.05
2020-02-20,15.56,3.62,2.05
2020-02-21,17.08,3.66,2.09
2020-02-24,25.03,4.03,2.13
2020-02-25,27.85,4.18,2.19
2020-02-26,27.56,4.27,2.2
2020-02-27,39.16,4.62,2.27
2020-02-28,40.11,5.04,2.38
2020-02-29,40.11,5.06,2.38
2020-03-02,33.42,4.97,2.44
2020-03-03,36.82,4.84,2.48
2020-03-04,31.99,4.75,2.47
2020-03-05,39.62,5.05,2.52
2020-03-06,41.94,5.64,2.55
2020-03-09,54.46,6.68,2.93
2020-03-10,47.3,6.38,2.93
2020-03-11,53.9,6.61,2.99
2020-03-12,75.47,7.42,3.2
2020-03-13,57.83,7.31,3.3
2020-03-16,82.69,8.38,3.38
2020-03-17,75.91,8.41,3.49
2020-03-18,76.45,9.04,3.81
2020-03-19,72.0,9.82,4.01
2020-03-20,66.04,10.09,4.23
2020-03-23,61.59,10.87,4.31
2020-03-24,61.67,10.55,4.19
2020-03-25,63.95,10.11,4.13
2020-03-26,61.0,9.29,4.04
2020-03-27,65.54,8.99,3.98
2020-03-30,57.08,8.82,3.89
2020-03-31,53.54,8.77,3.93
2020-04-01,57.06,9.11,3.97
2020-04-02,50.91,9.17,3.92
2020-04-03,46.8,9.43,3.92
2020-04-06,45.24,9.26,3.91
2020-04-07,46.7,8.88,3.79
2020-04-08,43.35,8.81,3.75
2020-04-09,41.67,7.96,3.61
2020-04-10,41.67,7.96,3.61
2020-04-13,41.17,7.7,3.41
2020-04-14,37.76,7.35,3.36
2020-04-15,40.84,7.64,3.33
2020-04-16,40.11,7.58,3.28
2020-04-17,38.15,7.31,3.27
2020-04-20,43.83,7.52,3.28
2020-04-21,45.41,7.9,3.29
2020-04-22,41.98,7.85,3.3
2020-04-23,41.38,7.87,3.26
2020-04-24,35.93,8.03,3.25
2020-04-27,33.29,8.01,3.24
2020-04-28,33.57,8.02,3.25
2020-04-29,31.23,7.87,3.24
2020-04-30,34.15,7.63,3.23
2020-05-01,37.19,7.7,3.25
2020-05-04,35.97,7.79,3.28
2020-05-05,33.61,7.6,3.28
2020-05-06,34.12,7.6,3.31
2020-05-07,31.44,7.6,3.34
2020-05-08,27.98,7.52,3.37
2020-05-11,27.57,7.51,3.41
2020-05-12,33.04,7.42,3.4
2020-05-13,35.28,7.61,3.43
2020-05-14,32.61,7.77,3.41
2020-05-15,31.89,7.78,3.41
2020-05-18,29.3,7.41,3.38
2020-05-19,30.53,7.35,3.3
2020-05-20,27.99,7.16,3.24
2020-05-21,29.53,7.08,3.18
2020-05-22,28.16,7.06,3.18
2020-05-25,28.16,7.06,3.18
2020-05-26,28.01,6.75,3.14
2020-05-27,27.62,6.7,3.11
2020-05-28,28.59,6.6,3.1
2020-05-29,27.51,6.71,3.08
2020-05-31,27.51,6.54,3.08
2020-06-01,28.23,6.43,3.1
2020-06-02,26.84,6.18,3.08
2020-06-03,25.66,5.8,3.02
2020-06-04,25.81,5.83,2.99
2020-06-05,24.52,5.5,2.86
2020-06-08,25.81,5.51,2.81
2020-06-09,27.57,5.75,2.8
2020-06-10,27.57,5.92,2.86
2020-06-11,40.79,6.4,2.91
2020-06-12,36.09,6.28,2.91
2020-06-15,34.4,6.25,2.93
2020-06-16,33.67,5.78,2.89
2020-06-17,33.47,5.85,2.87
2020-06-18,32.94,6.01,2.86
2020-06-19,35.12,6.02,2.87
2020-06-22,31.77,6.03,2.86
2020-06-23,31.37,6.02,2.87
2020-06-24,33.84,6.23,2.89
2020-06-25,32.22,6.3,2.92
2020-06-26,34.73,6.41,2.92
2020-06-29,31.78,6.52,2.94
2020-06-30,30.43,6.44,2.93
2020-07-01,28.62,6.33,2.89
