term,estimate,se,ci_low,ci_high,n,event,tenor,spec
"bin_[-40,-21]",-0.16626955017186063,3.214440901840559e-17,-0.16626955017186068,-0.16626955017186057,2,2020-04-01,2,TOTAL
"bin_[21,40]",0.120566845113671,2.458033169345804e-17,0.12056684511367095,0.12056684511367104,2,2020-04-01,2,TOTAL
"bin_[-40,-21]",-0.16209317432538878,5.20273953200523e-17,-0.1620931743253889,-0.16209317432538867,2,2020-04-01,2,DIRECT
"bin_[21,40]",0.117693876013794,3.984377384832908e-17,0.11769387601379391,0.11769387601379408,2,2020-04-01,2,DIRECT
"bin_[-40,-21]",-0.0024485364552083166,1.870263762435758e-17,-0.0024485364552083535,-0.0024485364552082798,2,2020-04-01,5,TOTAL
"bin_[21,40]",0.006209313803519141,1.420630347634553e-17,0.006209313803519113,0.006209313803519169,2,2020-04-01,5,TOTAL
"bin_[-40,-21]",-0.0023906005522246476,5.593383958545198e-17,-0.0023906005522247573,-0.002390600552224538,2,2020-04-01,5,DIRECT
"bin_[21,40]",0.006169458982040778,4.28703758287179e-17,0.006169458982040694,0.006169458982040862,2,2020-04-01,5,DIRECT
"bin_[-40,-21]",0.04014909036297845,5.803848521898452e-17,0.04014909036297834,0.04014909036297856,2,2020-04-01,10,TOTAL
"bin_[21,40]",-0.018871236441467654,4.4003787458391546e-17,-0.01887123644146774,-0.018871236441467567,2,2020-04-01,10,TOTAL
"bin_[-40,-21]",0.03913238234170677,1.040547906401046e-16,0.039132382341706566,0.03913238234170697,2,2020-04-01,10,DIRECT
"bin_[21,40]",-0.018171833580315988,7.968754769665816e-17,-0.018171833580316144,-0.018171833580315832,2,2020-04-01,10,DIRECT
"bin_[-40,-21]",0.05201796300189712,2.135989256368047e-17,0.05201796300189708,0.05201796300189716,2,2020-04-01,20,TOTAL
"bin_[21,40]",-0.027644432314086587,1.4434224136518152e-17,-0.027644432314086614,-0.02764443231408656,2,2020-04-01,20,TOTAL
"bin_[-40,-21]",0.05070326552974158,1.040547906401046e-16,0.05070326552974138,0.05070326552974178,2,2020-04-01,20,DIRECT
"bin_[21,40]",-0.026740039638662436,7.968754769665816e-17,-0.02674003963866259,-0.02674003963866228,2,2020-04-01,20,DIRECT
"bin_[-40,-21]",-2.8513070327088084,7.994980118398111e-16,-2.85130703270881,-2.8513070327088066,2,2021-03-19,2,TOTAL
"bin_[41,60]",3.086911823853444,8.644299772339765e-16,3.086911823853442,3.0869118238534456,2,2021-03-19,2,TOTAL
"bin_[-40,-21]",-2.8477237821482957,1.3690517271843285e-15,-2.8477237821482984,-2.847723782148293,2,2021-03-19,2,DIRECT
"bin_[41,60]",3.0830340521680855,1.481848074333131e-15,3.0830340521680824,3.0830340521680886,2,2021-03-19,2,DIRECT
"bin_[-40,-21]",-0.6429472523315415,5.285873930905797e-16,-0.6429472523315425,-0.6429472523315405,2,2021-03-19,5,TOTAL
"bin_[41,60]",0.7041457919341737,5.717910728658885e-16,0.7041457919341726,0.7041457919341748,2,2021-03-19,5,TOTAL
"bin_[-40,-21]",-0.6421410275538696,3.0205505408082694e-16,-0.6421410275538701,-0.642141027553869,2,2021-03-19,5,DIRECT
"bin_[41,60]",0.7032733001636742,3.282483837119881e-16,0.7032733001636735,0.7032733001636748,2,2021-03-19,5,DIRECT
"bin_[-40,-21]",3.5394681828823895,6.256041441958319e-16,3.539468182882388,3.539468182882391,2,2021-03-19,10,TOTAL
"bin_[41,60]",-3.8330140816780456,6.768474533439893e-16,-3.833014081678047,-3.8330140816780442,2,2021-03-19,10,TOTAL
"bin_[-40,-21]",3.5350203534627376,9.305758785956937e-16,3.535020353462736,3.5350203534627394,2,2021-03-19,10,DIRECT
"bin_[41,60]",-3.8282006680390706,1.0086835410546516e-15,-3.8282006680390723,-3.8282006680390688,2,2021-03-19,10,DIRECT
"bin_[-40,-21]",1.9866907715948097,1.3417934336662413e-15,1.986690771594807,1.9866907715948123,2,2021-03-19,20,TOTAL
"bin_[41,60]",-2.1309961598382445,1.451671469919953e-15,-2.130996159838247,-2.130996159838242,2,2021-03-19,20,TOTAL
"bin_[-40,-21]",1.9841897341484032,1.5844708943183383e-15,1.9841897341484,1.9841897341484063,2,2021-03-19,20,DIRECT
"bin_[41,60]",-2.128289553212954,1.7162310264915529e-15,-2.1282895532129578,-2.1282895532129507,2,2021-03-19,20,DIRECT
"bin_[-40,-21]",-2.8513070327088084,7.994980118398111e-16,-2.85130703270881,-2.8513070327088066,2,2021-03-31,2,TOTAL
"bin_[21,40]",3.086911823853444,8.644299772339765e-16,3.086911823853442,3.0869118238534456,2,2021-03-31,2,TOTAL
"bin_[-40,-21]",-2.8477237821482957,1.3690517271843285e-15,-2.8477237821482984,-2.847723782148293,2,2021-03-31,2,DIRECT
"bin_[21,40]",3.0830340521680855,1.481848074333131e-15,3.0830340521680824,3.0830340521680886,2,2021-03-31,2,DIRECT
"bin_[-40,-21]",-0.6429472523315415,5.285873930905797e-16,-0.6429472523315425,-0.6429472523315405,2,2021-03-31,5,TOTAL
"bin_[21,40]",0.7041457919341737,5.717910728658885e-16,0.7041457919341726,0.7041457919341748,2,2021-03-31,5,TOTAL
"bin_[-40,-21]",-0.6421410275538696,3.0205505408082694e-16,-0.6421410275538701,-0.642141027553869,2,2021-03-31,5,DIRECT
"bin_[21,40]",0.7032733001636742,3.282483837119881e-16,0.7032733001636735,0.7032733001636748,2,2021-03-31,5,DIRECT
"bin_[-40,-21]",3.5394681828823895,6.256041441958319e-16,3.539468182882388,3.539468182882391,2,2021-03-31,10,TOTAL
"bin_[21,40]",-3.8330140816780456,6.768474533439893e-16,-3.833014081678047,-3.8330140816780442,2,2021-03-31,10,TOTAL
"bin_[-40,-21]",3.5350203534627376,9.305758785956937e-16,3.535020353462736,3.5350203534627394,2,2021-03-31,10,DIRECT
"bin_[21,40]",-3.8282006680390706,1.0086835410546516e-15,-3.8282006680390723,-3.8282006680390688,2,2021-03-31,10,DIRECT
"bin_[-40,-21]",1.9866907715948097,1.3417934336662413e-15,1.986690771594807,1.9866907715948123,2,2021-03-31,20,TOTAL
"bin_[21,40]",-2.1309961598382445,1.451671469919953e-15,-2.130996159838247,-2.130996159838242,2,2021-03-31,20,TOTAL
"bin_[-40,-21]",1.9841897341484032,1.5844708943183383e-15,1.9841897341484,1.9841897341484063,2,2021-03-31,20,DIRECT
"bin_[21,40]",-2.128289553212954,1.7162310264915529e-15,-2.1282895532129578,-2.1282895532129507,2,2021-03-31,20,DIRECT
